captured_at,slot,signal_date,market_asof_date,score,stance,confidence,sh_close,sh_pct,global_avg,a50_pct,usdcnh,usdcnh_pct,dxy,dxy_pct,vix,us10y,health
2026-09-20 15:40,open,2026-09-20,2026-09-18,25,积极但不追高,中,3911.87,0.94,0.2177,,,,,,15.44,4.94,"markets,us10y,vix"
2026-09-20 16:09,night,2026-09-20,2026-09-18,25,积极但不追高,中,3911.87,0.94,0.2177,,,,,,15.44,4.94,"markets,us10y,vix"
2026-09-20 16:15,night,2026-09-20,2026-09-18,21,谨慎偏多,中,3911.87,0.94,0.2177,,,,,,15.44,4.94,"markets,us10y,vix"
2026-09-20 16:47,midday,2026-09-20,2026-09-18,23,谨慎偏多,中,3911.87,0.94,0.2177,,,,,,15.44,4.94,"markets,us10y,vix"
2026-09-20 17:20,night,2026-09-20,2026-09-18,25,积极但不追高,中,3911.87,0.94,0.2177,0.017262809004270352,6.6943,-0.14171067155941408,100.2167,-0.005487806094850445,15.44,4.94,"markets,us10y,vix"
2026-09-20 20:16,close,2026-09-20,2026-09-18,19,谨慎偏多,中,3911.87,0.94,0.2177,0.017262809004270352,6.6943,-0.14171067155941408,100.2167,-0.005487806094850445,15.44,4.94,"markets,us10y,vix"
2026-09-20 20:23,close,2026-09-20,2026-09-18,19,谨慎偏多,中,3911.87,0.94,0.2177,0.017262809004270352,6.6943,-0.14171067155941408,100.2167,-0.005487806094850445,15.44,4.94,news
2026-09-21 00:14,night,2026-09-21,2026-09-18,19,谨慎偏多,中,3911.87,0.94,0.2177,0.017262809004270352,6.6943,-0.14171067155941408,100.2167,-0.005487806094850445,15.44,4.94,"markets,us10y,vix"
2026-09-21 08:15,overnight,2026-09-21,2026-09-18,22,谨慎偏多,中,3911.87,0.94,0.2177,0.017262809004270352,6.6941,-0.022402771969654012,100.2689,0.038710926158924686,15.44,4.94,"markets,us10y,vix"
2026-09-21 15:52,open,2026-09-21,2026-09-21,25,积极但不追高,中,3911.87,0.94,0.281,0.8543018920038614,6.6953,-0.004480554393937464,100.3172,0.08690004300107024,15.44,4.94,"markets,us10y,vix"
2026-09-21 17:15,midday,2026-09-21,2026-09-21,22,谨慎偏多,中,3911.87,0.94,0.3144,0.018685831622167193,6.6945,-0.016428699444415162,100.2952,0.06495054878723483,15.44,4.94,"markets,us10y,vix"
2026-09-21 22:01,close,2026-09-21,2026-09-21,33,积极但不追高,中,3949.91,0.97,0.9444,0.06043805612594433,6.6925,-0.04629906207060941,100.3751,0.14466712095468903,15.44,4.94,"markets,news,us10y,vix"
2026-09-22 02:13,night,2026-09-22,2026-09-21,35,积极但不追高,中,3949.91,0.97,1.3377,0.2882272416153464,6.6926,-0.044805543939308023,100.4111,0.180584475122747,15.44,4.94,"markets,us10y,vix"
2026-09-22 08:49,overnight,2026-09-22,2026-09-21,34,积极但不追高,中,3949.91,0.97,1.3644,0.30253251197809305,6.6916,-0.011953858107704995,100.3721,-0.047998263299342536,15.44,4.94,"markets,us10y,vix"
2026-09-22 15:37,open,2026-09-22,2026-09-22,31,积极但不追高,中,3949.91,0.97,1.181,0.30595482546200703,6.6992,0.10160779391548136,100.4884,0.06781497366568079,15.44,4.94,"markets,us10y,vix"
2026-09-22 16:46,midday,2026-09-22,2026-09-22,33,积极但不追高,中,3949.91,0.97,1.1977,0.26899383983571834,6.6999,0.11206741975973156,100.4855,0.0649271113509986,15.44,4.94,"markets,us10y,vix"
2026-09-22 20:34,close,2026-09-22,2026-09-22,7,谨慎偏多,中,3952.13,0.06,1.1977,0.21523133615395373,6.6985,0.09114816807125337,100.392,-0.028181552933026488,15.44,4.94,"markets,us10y,vix"
2026-09-23 01:02,night,2026-09-23,2026-09-22,-7,谨慎防守,中,3952.13,0.06,0.2077,0.27705745871433596,6.6998,0.11057318749625455,100.6474,0.2261494936780739,15.44,4.94,"markets,us10y,vix"
2026-09-23 08:31,overnight,2026-09-23,2026-09-22,-3,中性等待,中,3952.13,0.06,0.3094,0.3403848778490426,6.6964,-0.03284268354581954,100.564,0.025462907704909554,15.44,4.94,"markets,us10y,vix"
2026-09-23 15:39,open,2026-09-23,2026-09-23,-15,谨慎防守,中,3952.13,0.06,0.1044,-0.7853145898730762,6.7078,0.13734213119158678,100.7635,0.22389455173346118,15.44,4.94,"markets,us10y,vix"
2026-09-23 16:48,midday,2026-09-23,2026-09-23,-14,谨慎防守,中,3952.13,0.06,0.111,-0.8298075610754796,6.7051,0.09703520138535371,100.7818,0.2420965521631624,15.44,4.94,"markets,us10y,vix"
2026-09-23 20:43,close,2026-09-23,2026-09-23,-22,谨慎防守,中,3936.52,-0.39,0.111,-0.15191963671391528,6.7083,0.14480637745202252,100.9623,0.42162994437946466,15.44,4.94,"markets,us10y,vix"
2026-09-24 01:12,night,2026-09-24,2026-09-23,-34,防守优先,中,3936.52,-0.39,-0.729,-0.44261731113252045,6.713,0.2149702922998875,101.2225,0.6804365297239601,15.44,4.94,"markets,us10y,vix"
2026-09-24 08:29,overnight,2026-09-24,2026-09-23,-26,防守优先,中,3936.52,-0.39,-0.6306,-0.4953901197192745,6.7123,0.013410018774018262,101.1492,0.01789756069101589,15.44,4.94,"markets,us10y,vix"
2026-09-24 15:31,open,2026-09-24,2026-09-24,-30,防守优先,中,3936.52,-0.39,-0.509,-1.3354891977432226,6.7124,0.014900020860020291,101.0671,-0.06328419249865824,15.44,4.94,"markets,us10y,vix"
2026-09-24 16:42,midday,2026-09-24,2026-09-24,-32,防守优先,中,3936.52,-0.39,-0.5106,-1.5197468006054704,6.715,0.05364007509609525,101.1264,-0.0046474328866175085,15.44,4.94,"markets,us10y,vix"
2026-09-24 20:42,close,2026-09-24,2026-09-24,-34,防守优先,中,3888.37,-1.22,-0.5106,0.10095011876485316,6.7143,0.04321006049408105,101.2667,0.134083382856498,15.44,4.94,"markets,us10y,vix"
